Date,Close,Close,Close,Close,Close
2024-12-31,585.5100,219.3900,250.4200,891.3200,189.3000
2024-12-30,591.2400,221.3000,252.2000,900.4300,191.2400
2024-12-27,599.8100,223.7500,255.5900,907.5500,192.7600
2024-12-26,603.3500,227.0500,259.0200,924.1400,195.6000
2024-12-24,607.7500,229.0500,258.2000,932.1200,196.1100
2024-12-23,599.8500,225.0600,255.2700,911.4500,194.6300
2024-12-20,585.2500,224.9200,254.4900,909.0500,191.4100
2024-12-19,595.5700,223.2900,249.7900,902.0400,188.5100
2024-12-18,597.1900,220.5200,248.0500,889.5500,188.4000
2024-12-17,619.4400,231.1500,253.4800,919.1300,195.4200
2024-12-16,624.2400,232.9300,251.0400,921.0800,196.6600
2024-12-13,620.3500,227.4600,248.1300,918.8700,189.8200
2024-12-12,630.7900,228.9700,247.9600,925.5500,191.9600
2024-12-11,632.6800,230.2600,246.4900,936.5600,195.4000
2024-12-10,619.3200,225.0400,247.7700,913.3500,185.1700
2024-12-09,613.5700,226.0900,246.7500,913.6900,175.3700
2024-12-06,623.7700,227.0300,242.8400,934.7400,174.7100
2024-12-05,608.9300,220.5500,243.0400,917.8700,172.6400
2024-12-04,613.7800,218.1600,243.0100,911.0600,174.3700
2024-12-03,613.6500,213.4400,242.6500,902.1700,171.3400
2024-12-02,592.8300,210.7100,239.5900,897.7400,171.4900
2024-11-29,574.3200,207.8900,237.3300,886.8100,168.9500
2024-11-27,569.2000,205.7400,234.9300,877.3400,169.2300
2024-11-26,573.5400,207.8600,235.0600,872.6000,169.1200
2024-11-25,565.1100,201.4500,232.8700,865.5900,167.6500
2024-11-22,559.1400,197.1200,229.8700,897.7900,164.7600
2024-11-21,563.0900,198.3800,228.5200,897.4800,167.6300
2024-11-20,565.5200,202.8800,229.0000,883.8500,175.9800
2024-11-19,561.0900,204.6100,228.2800,871.3200,178.1200
2024-11-18,554.4000,201.7000,228.0200,847.0500,175.3000
2024-11-15,554.0800,202.6100,225.0000,823.9600,172.4900
2024-11-14,577.1600,211.4800,228.2200,837.2600,175.5800
2024-11-13,580.0000,214.1000,225.1200,830.4700,178.8800
2024-11-12,584.8200,208.9100,224.2300,819.5000,181.6200
2024-11-11,583.1700,206.8400,224.2300,805.4400,180.3500
2024-11-08,589.3400,208.1800,226.9600,795.0400,178.3500
2024-11-07,591.7000,210.0500,227.4800,796.5400,180.7500
2024-11-06,572.0500,207.0900,222.7200,780.2100,176.5100
2024-11-05,572.4300,199.5000,223.4500,763.9100,169.7400
2024-11-04,560.6800,195.7800,222.0100,755.5100,169.2400
2024-11-01,567.1600,197.9300,222.9100,756.1000,171.2900
2024-10-31,567.5800,186.4000,225.9100,756.0300,171.1100
2024-10-30,591.8000,192.7300,230.1000,753.7400,174.4600
2024-10-29,593.2800,190.8300,233.6700,759.4400,169.6800
2024-10-28,578.1600,188.3900,233.4000,749.1200,166.7200
2024-10-25,573.2500,187.8300,231.4100,754.6800,165.2700
2024-10-24,567.7800,186.3800,230.5700,754.5500,162.7200
2024-10-23,563.6900,184.7100,230.7600,749.2900,162.7800
2024-10-22,582.0100,189.7000,235.8600,764.2400,165.1400
2024-10-21,575.1600,189.0700,236.4800,772.0700,164.0700
2024-10-18,576.4700,188.9900,235.0000,763.8900,163.4200
2024-10-17,576.9300,187.5300,232.1500,687.6500,162.9300
2024-10-16,576.7900,186.8900,231.7800,702.0000,165.1600
2024-10-15,586.2700,187.6900,233.8500,705.9800,165.4600
2024-10-14,590.4200,187.5400,231.3000,713.0000,164.9600
2024-10-11,589.9500,188.8200,227.5500,722.7900,163.2400
2024-10-10,583.8300,186.6500,229.0400,730.2900,162.0800
2024-10-09,590.5100,185.1700,229.5400,727.4300,161.8600
2024-10-08,592.8900,182.7200,225.7700,721.7600,164.3800
2024-10-07,584.7800,180.8000,221.6900,701.9200,162.9800
2024-10-04,595.9400,186.5100,226.8000,719.7000,167.0600
2024-10-03,582.7700,181.9600,225.6700,706.8000,165.8600
2024-10-02,572.8100,184.7600,226.7800,711.0900,165.8600
2024-10-01,576.4700,185.1300,226.2100,706.1300,166.9900
2024-09-30,572.4400,186.3300,233.0000,709.2700,165.8500
2024-09-27,567.3600,187.9700,227.7900,707.3500,163.9500
2024-09-26,567.8400,191.1600,227.5200,711.4300,162.7300
2024-09-25,568.3100,192.5300,226.3700,721.5600,161.4900
2024-09-24,563.3300,193.9600,227.3700,722.2600,162.2900
2024-09-23,564.4100,193.8800,226.4700,705.3700,161.8500
2024-09-20,561.3500,191.6000,228.2000,701.0300,163.5900
2024-09-19,559.1000,189.8700,228.8700,704.3200,162.1400
2024-09-18,537.9500,186.4300,220.6900,690.4700,159.8100
2024-09-17,536.3150,186.8800,216.7900,706.9100,159.3200
2024-09-16,533.2800,184.8900,216.3200,696.5000,158.0600
2024-09-13,524.6200,186.4900,222.5000,697.0600,157.4600
2024-09-12,525.6000,187.0000,222.7700,686.8000,154.6900
2024-09-11,511.8300,184.5200,222.6600,681.4700,151.1600
2024-09-10,504.7900,179.5500,220.1100,673.6200,148.6600
2024-09-09,504.7900,175.4000,220.9100,675.4200,148.7100
2024-09-06,500.2700,171.3900,220.8200,665.7700,150.9200
2024-09-05,516.8600,177.8900,222.3800,683.6200,157.2400
2024-09-04,512.7400,173.3300,220.8500,679.6800,156.4500
2024-09-03,511.7600,176.2500,222.7700,675.3200,157.3600
2024-08-30,521.3100,178.5000,229.0000,701.3500,163.3800
2024-08-29,518.2200,172.1200,229.7900,692.4800,161.7800
2024-08-28,516.7800,170.8000,226.4900,683.8400,162.8500
2024-08-27,519.1000,173.1200,228.0300,695.7200,164.6800
2024-08-26,521.1200,175.5000,227.1800,688.4400,166.1600
2024-08-23,528.0000,177.0400,226.8400,686.7300,165.6200
2024-08-22,531.9300,176.1300,224.5300,688.9600,163.8000
2024-08-21,535.1600,180.1100,226.4000,697.1200,165.8500
2024-08-20,526.7300,178.8800,226.5100,698.5400,167.1800
2024-08-19,529.2800,178.2200,225.8900,688.5300,166.6700
2024-08-16,527.4200,177.0600,226.0500,674.0700,162.9600
2024-08-15,537.3300,177.5900,224.7200,663.2200,161.3000
2024-08-14,526.7600,170.1000,221.7200,661.6800,160.3700
2024-08-13,528.5400,170.2300,221.2700,648.0200,164.1600
